wl	n
0.215279458439	2.74688425754
0.219754982075	2.78535091501
0.224323549012	2.82188793188
0.228987093564	2.85641587395
0.233747590255	2.88887387471
0.238607054657	2.91921992784
0.243567544248	2.94743074903
0.248631159276	2.9735012512
0.253800043655	2.99744368692
0.259076385867	3.01928651732
0.264462419893	3.03907306938
0.269960426156	3.05686004196
0.275572732488	3.07271591825
0.281301715116	3.08671933636
0.287149799665	3.09895746405
0.293119462189	3.10952441579
0.299213230217	3.11851974347
0.305433683824	3.12604702459
0.311783456723	3.13221256528
0.318265237381	3.13712422907
0.324881770154	3.14089039739
0.331635856454	3.14361906298
0.338530355932	3.14541705393
0.345568187689	3.14638938312
0.352752331512	3.14663871581
0.360085829136	3.14626494654
